Title,PublicationDate,Subjects,SourceURL,SourceDate
63,"Race in society : the enduring American dilemma / Margaret L. 
Andersen, University of Delaware.",[2017],https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
64,"The ethnic project : transforming racial fiction into ethnic factions / 
Vilna Bashi Treitler.",2013.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
65,"Racism without racists : color-blind racism and the persistence of 
racial inequality in America / Eduardo Bonilla-Silva.",[2014],https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
66,"Racism without racists : color-blind racism and the persistence of 
racial inequality in America / Eduardo Bonilla-Silva.",[2018],https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
67,"White out : understanding white privilege and dominance in the 
modern age / Christopher S. Collins and Alexander Jun.",[2017],https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
68,"Racecraft : the soul of inequality in American life / Karen E. Fields 
and Barbara J. Fields.",2014.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
69,"How to be less stupid about race : on racism, White supremacy, 
and the racial divide / Crystal M. Fleming.",[2018],https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
70,"Rich thanks to racism : how the ultra-wealthy profit from racial 
injustice / Jim Freeman.",2021.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
71,"On the fault line : race, class, and the American patriot movement / 
Carolyn Gallaher.",c2003.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
72,"Bind us apart : how enlightened Americans invented racial 
segregation / Nicholas Guyatt.",[2016],https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
